qtype,question,answer,q_words,a_chars,a_words,a_sents
outlook,What is the outlook for Striatonigral Degeneration ?,Striatonigral degeneration progresses slowly. Some patients have normal life expectancy.,8,88,10,2
outlook,What is the outlook for Hypotonia ?,"Hypotonia can be a life-long condition. In some cases, however, muscle tone improves over time.",7,95,15,2
treatment,What are the treatments for Anencephaly ?,There is no cure or standard treatment for anencephaly. Treatment is supportive.,7,80,12,2
treatment,What are the treatments for Sotos Syndrome ?,There is no standard course of treatment for Sotos syndrome. Treatment is symptomatic.,8,86,13,2
outlook,What is the outlook for Cerebro-Oculo-Facio-Skeletal Syndrome (COFS) ?,COFS is a fatal disease. Most children do not live beyond five years.,9,69,13,2
treatment,What are the treatments for Spinal Muscular Atrophy ?,There is no cure for SMA. Treatment consists of managing the symptoms and preventing complications.,9,99,15,2
outlook,What is the outlook for Myotonia ?,Myotonia is a chronic disorder. Symptoms may improve later in life.,7,67,11,2
treatment,What are the treatments for What I need to know about Diverticular Disease ?,Eating high-fiber foods can help relieve symptoms. Sometimes mild pain medications also help.,14,93,13,2
information,What is (are) Heart Failure ?,More detailed information on heart failure is available at http://www.nhlbi.nih.gov/health/dci,6,94,10,4
information,What is (are) Heart Attack ?,More detailed information on heart attacks is available at www.nhlbi.nih.gov/health/dci.,6,88,10,4
frequency,How many people are affected by autosomal dominant vitreoretinochoroidopathy ?,ADVIRC is considered a rare disease. Its prevalence is unknown.,10,63,10,2
frequency,How many people are affected by cherubism ?,The incidence of cherubism is unknown. At least 250 cases have been reported worldwide.,8,87,14,2
frequency,How many people are affected by Coats plus syndrome ?,Coats plus syndrome appears to be a rare disorder. Its prevalence is unknown.,10,77,13,2
frequency,How many people are affected by spastic paraplegia type 4 ?,"The prevalence of spastic paraplegia type 4 is estimated to be 2 to 6 in 100,000 people worldwide.",11,98,18,1
frequency,"How many people are affected by TK2-related mitochondrial DNA depletion syndrome, myopathic form ?",The prevalence of TK2-MDS is unknown. Approximately 45 cases have been described.,14,81,12,2
frequency,How many people are affected by periventricular heterotopia ?,Periventricular heterotopia is a rare condition. Its incidence is unknown.,9,74,10,2
frequency,How many people are affected by Knobloch syndrome ?,"Knobloch syndrome is a rare condition. However, the exact prevalence of the condition is unknown.",9,97,15,2
frequency,How many people are affected by hereditary leiomyomatosis and renal cell cancer ?,HLRCC has been reported in approximately 100 families worldwide. Its prevalence is unknown.,13,91,13,2
frequency,How many people are affected by gray platelet syndrome ?,Gray platelet syndrome appears to be a rare disorder. About 60 cases have been reported worldwide.,10,98,16,2
frequency,How many people are affected by 22q13.3 deletion syndrome ?,At least 500 cases of 22q13.3 deletion syndrome are known.,10,58,10,2
frequency,How many people are affected by cerebral cavernous malformation ?,Cerebral cavernous malformations affect about 0.5 percent of the population worldwide.,10,86,11,2
frequency,How many people are affected by cutis laxa ?,Cutis laxa is a rare disorder. About 200 affected families worldwide have been reported.,9,88,14,2
frequency,How many people are affected by hereditary sensory and autonomic neuropathy type V ?,HSAN5 is very rare. Only a few people with the condition have been identified.,14,78,14,2
frequency,How many people are affected by infantile neuroaxonal dystrophy ?,Infantile neuroaxonal dystrophy is a very rare disorder. Its specific incidence is unknown.,10,91,13,2
frequency,How many people are affected by hystrix-like ichthyosis with deafness ?,HID is a rare disorder. Its prevalence is unknown.,11,50,9,2
frequency,How many people are affected by myosin storage myopathy ?,Myosin storage myopathy is a rare condition. Its prevalence is unknown.,10,71,11,2
frequency,How many people are affected by tubular aggregate myopathy ?,Tubular aggregate myopathy is a rare disorder. Its prevalence is unknown.,10,73,11,2
frequency,How many people are affected by holocarboxylase synthetase deficiency ?,"The exact incidence of this condition is unknown, but it is estimated to affect 1 in 87,000 people.",10,99,18,1
frequency,How many people are affected by progressive osseous heteroplasia ?,Progressive osseous heteroplasia is a rare condition. Its exact incidence is unknown.,10,85,12,2
frequency,How many people are affected by tetrasomy 18p ?,Tetrasomy 18p is a rare disorder. It is known to affect about 250 families worldwide.,9,85,15,2
frequency,How many people are affected by Ochoa syndrome ?,Ochoa syndrome is a rare disorder. About 150 cases have been reported in the medical literature.,9,96,16,2
frequency,How many people are affected by mitochondrial neurogastrointestinal encephalopathy disease ?,The prevalence of MNGIE disease is unknown. About 70 people with this disorder have been reported.,11,98,16,2
frequency,How many people are affected by leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation ?,LBSL is a rare condition. Its exact prevalence is not known.,17,60,11,2
frequency,How many people are affected by Farber lipogranulomatosis ?,Farber lipogranulomatosis is a rare disorder. About 80 cases have been reported worldwide.,9,90,13,2
frequency,How many people are affected by oculofaciocardiodental syndrome ?,OFCD syndrome is very rare; the incidence is estimated to be less than 1 in 1 million people.,9,93,18,1
frequency,How many people are affected by Aicardi-Goutieres syndrome ?,Aicardi-Goutieres syndrome is a rare disorder. Its exact prevalence is unknown.,9,79,11,2
frequency,How many people are affected by Lowe syndrome ?,"Lowe syndrome is an uncommon condition. It has an estimated prevalence of 1 in 500,000 people.",9,94,16,2
causes,What causes Jones syndrome ?,"What causes Jones syndrome? The exact, underlying genetic cause of Jones syndrome is not yet known.",5,99,16,2
causes,What causes Esthesioneuroblastoma ?,What causes esthestioneuroblastoma? The cause of esthesioneuroblastoma is currently unknown.,4,92,10,2
